tick,note,measure
100560,32,52
100800,44,52
100800,39,52
100800,35,52
101040,32,52
101280,37,52
101520,39,52
101760,37,53
101760,38,53
101760,41,53
101760,27,53
102000,31,53
102240,37,53
102480,41,53
102720,40,53
103680,38,54
103680,23,54
103800,27,54
103920,32,54
104040,33,54
104160,38,54
104280,36,54
104400,34,54
104520,40,54
104640,38,54
104760,41,54
104880,43,54
105000,47,54
105120,45,54
105360,46,54
105600,50,55
105600,43,55
105600,23,55
